id,structure_order,q1,q2,q3,q4,q5,q6,q7,PHt,Hs_obs,Hs_exp,IR,HL,pop,sex,length,date,oto_age,natal_region,stocked,lat,long,sibling_group
GOP559,318,0.9707,0.001,0.0008,0.004,0.0013,0.0027,0.0195,0.219159201,0.945404302,0.973445342,0.020648479,0.660769918,LOWER_DARLING,NA,418,2/5/2018,7,lower darling,NO,-33.38473,142.56163,NA
GOP560,319,0.9862,0.0013,0.0022,0.0013,0.0048,0.0023,0.0018,0.223407917,0.96333103,0.992135413,-0.007862037,0.655489176,LOWER_DARLING,NA,355,2/5/2018,4,lower darling,NO,-33.38473,142.56163,NA
GOP561,320,0.9437,0.002,0.0075,0.0045,0.012,0.0025,0.0278,0.216747071,0.934312876,0.962385856,0.032076611,0.661681295,LOWER_DARLING,NA,NA,NA,1,NA,,-33.38473,142.56163,NA
GOP562,321,0.982,0.001,0.0043,0.001,0.0088,0.0013,0.0015,0.223371251,0.962904592,0.991570426,0.010205612,0.655546212,LOWER_DARLING,NA,NA,NA,1,NA,,-33.38473,142.56163,NA
GOP563,322,0.9833,0.0032,0.001,0.0023,0.0032,0.0025,0.0045,0.228886591,0.986632772,1.016116011,-0.014734183,0.645381464,LOWER_DARLING,NA,NA,NA,1,NA,,-33.38473,142.56163,NA
GOP564,323,0.9838,0.001,0.0007,0.0035,0.0015,0.0027,0.0068,0.22084196,0.951636263,0.980312793,0.021270795,0.656881091,LOWER_DARLING,NA,421,3/5/2018,8,lower darling,NO,-33.99698,141.91682,NA
GOP565,324,0.9485,0.0013,0.0102,0.0055,0.0042,0.027,0.0033,0.216011042,0.931593325,0.959324104,0.03513249,0.664068395,LOWER_DARLING,NA,330,3/5/2018,6,lower darling,NO,-33.99698,141.91682,NA
GOP566,325,0.9622,0.0027,0.003,0.0022,0.0187,0.0063,0.005,0.225094795,0.97045616,0.999797752,-0.007491852,0.650586301,LOWER_DARLING,NA,332,3/5/2018,8,lower darling,NO,-33.99698,141.91682,NA
GOP567,326,0.9843,0.001,0.001,0.0062,0.001,0.0033,0.0032,0.219655172,0.947622655,0.975844579,0.010330289,0.660116633,LOWER_DARLING,NA,355,3/5/2018,8,NA,,-33.99698,141.91682,NA
GOP568,327,0.9498,0.001,0.001,0.0389,0.0023,0.0045,0.0025,0.226095961,0.973430739,1.002978309,-0.005701697,0.654952084,LOWER_DARLING,NA,385,3/5/2018,8,lower darling,NO,-33.99698,141.91682,NA
GOP569,328,0.956,0.0008,0.001,0.0047,0.005,0.0148,0.0177,0.221187026,0.954200524,0.983144433,-0.003016783,0.657733018,LOWER_DARLING,NA,300,3/5/2018,8,lower darling,NO,-33.99698,141.91682,NA
GOP677,432,0.9105,0.0032,0.0028,0.0077,0.0018,0.0067,0.0674,0.231783484,0.999300735,1.028532227,-0.023120632,0.641987073,MACINTYRE,NA,420,NA,10,NA,,-28.70031645,150.5305017,NA
GOP678,433,0.8641,0.0524,0.0223,0.0035,0.0427,0.0042,0.0108,0.205934299,0.885596631,0.910813809,0.089460196,0.688065959,MACINTYRE,NA,416,NA,8,NA,,-28.70031645,150.5305017,NA
GOP679,434,0.5323,0.0068,0.001,0.4415,0.0132,0.001,0.0042,0.227667709,0.980111952,1.009518554,0.003056755,0.666837085,MACINTYRE,NA,315,NA,3,NA,,-28.70031645,150.5305017,NA
GOP680,435,0.9807,0.0038,0.0052,0.003,0.0015,0.0022,0.0037,0.223031564,0.96216458,0.991423022,-0.014990994,0.648138597,MACINTYRE,NA,270,NA,3,NA,,-28.70031645,150.5305017,NA
GOP681,436,0.9735,0.0143,0.0028,0.0012,0.001,0.0013,0.0058,0.224292616,0.967718302,0.996527119,0.008792756,0.648285896,MACINTYRE,NA,388,NA,8,NA,,-28.70031645,150.5305017,NA
GOP682,437,0.7728,0.001,0.0143,0.0075,0.0067,0.0015,0.1962,0.229015544,0.988162596,1.017936826,-0.023846827,0.642341381,MACINTYRE,NA,258,NA,3,NA,,-28.70031645,150.5305017,NA
GOP684,439,0.9808,0.002,0.004,0.0013,0.0075,0.0015,0.0028,0.225269004,0.972753685,1.001222165,-0.006093964,0.643820821,MACINTYRE,NA,398,NA,8,NA,,-28.70031645,150.5305017,NA
